name,chineseName,code,id,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,亚美尼亚,ARM,051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256838857.60997,2069870129.87013,1272835453.42634,1201312829.27524,1315158636.67553,1468317435.20148,1596968946.23708,1639492444.76152,1893726437.26462,1845482173.02732,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7542,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13619291361.2814,12641209802.112
Aruba,阿鲁巴岛,ABW,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253702941637e-308,487602457.746416,596423607.114715,695304363.031101,764887117.194486,872138715.083799,958463184.357542,1082979720.67039,1245688268.15642,1320474860.3352,1379960893.85475,1531944134.07821,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2727849720.67039,2790849162.01117,2962905027.93296,2983636871.50838,3092430167.59777,3202188606.92893,0,0
Australia,澳大利亚,AUS,036,18606786874.23,19683055213.3498,19922723709.262,1.11254225032235e-308,1.11254280890592e-308,1.11254334646306e-308,1.1125436756926e-308,1.11254445007369e-308,1.1125450114239e-308,1.11254599191927e-308,1.11254714090271e-308,1.11254810064833e-308,1.11254978765834e-308,1.11255270105706e-308,1.11255891062376e-308,1.11256097371423e-308,1.11256289276763e-308,1.11256419863964e-308,1.11256621153139e-308,1.11257026423259e-308,1.11257399215916e-308,1.11258064256202e-308,1.11258487946116e-308,1.1125807364846e-308,1.11258475321522e-308,1.11258153689721e-308,1.11258198025765e-308,189400476442.562,236065919674.04,299767934207.312,311326664101.578,325902990346.127,325480273782.973,312126194491.287,322807333102.733,367915800415.8,401089529590.288,435323994365.315,399404463135.047,389098884572.001,415576210513.094,379083932596.329,395342716617.832,467390797903.32,614166310997.297,695075176665.163,747556154537.287,853955405511.502,1055127126230.98,928042998085.702,1147589183475.73,1397907916789.9,1546508558465.66,1576335282651.07,1467504819608.92,1350534154255.76,1206685107002.47,1326882872011.46,1428529571351.06,1391952510370.48,1327836171068.51
Austria,奥地利,AUT,040,6592693841.18495,7311749633.36229,7756110210.11966,1.11253899794975e-308,1.11253919454061e-308,1.11253939811708e-308,1.11253961886849e-308,1.11253978975329e-308,1.11254000249639e-308,1.11254028465067e-308,1.11254072689056e-308,1.11254134088583e-308,1.11254237870194e-308,1.11254422054291e-308,1.11254562216569e-308,1.11254682519253e-308,1.1125475417778e-308,1.11254966274793e-308,1.11255225819833e-308,1.11255519419279e-308,1.11255720049852e-308,1.11255447703958e-308,1.11255453658909e-308,1.11255474551191e-308,1.11255372386527e-308,1.11255407006436e-308,1.112561394437e-308,124168442533.74,133339397080.129,133105805512.22,166463386179.354,173794177961.108,195078126721.763,190379720809.18,203535242741.838,241038283062.645,237250948791.266,212790348404.555,218259904401.956,217185787342.851,196799778883.361,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.353,430294287388.311,400172297860.517,391892746544.69,431120310088.82,409425234155.263,430068712971.867,441996131736.508,381817565893.574,395568644341.038,416230497429.163,454945881027.378,445011872704.47,433258467676.515
Azerbaijan,阿塞拜疆,AZE,031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446305555.555556,1.57e+09,1193312101.91083,2417355840.03625,3176333837.03359,3962238113.16021,4446368570.6901,4581432038.83495,5272798390.70183,5707720390.8515,6235856819.58445,7276753894.71541,8680370408.05943,13245716099.0057,20982986344.3027,33050343782.7759,48852482960.0779,44291490420.5026,52909294791.9262,65951627200.2026,69683935845.2139,74164435946.4627,75244294275.1498,53074370486.0433,37867518957.1975,40865558912.3867,47112941176.4706,48174235294.1176,42607176470.5882
Bahamas,巴哈马,BHS,044,169803921.568627,190098039.215686,212254901.960784,1.11253698798444e-308,1.11253699512902e-308,1.11253700346032e-308,1.11253701324476e-308,1.11253702564484e-308,1.11253703915899e-308,1.11253705972084e-308,1.11253706226179e-308,1.11253707090222e-308,1.1125370752253e-308,1.11253709498792e-308,1.11253708547716e-308,1.11253707653457e-308,1.11253708787338e-308,1.112537105388e-308,1.11253713488372e-308,1.11253721082164e-308,1.11253725911653e-308,1.11253728164592e-308,1.11253731914551e-308,1.11253735731208e-308,1.1125374334723e-308,1.11253750254265e-308,1.11253754004226e-308,2713999900,2817900000,3.062e+09,3.166e+09,3111160000,3.109e+09,3.092e+09,3.259e+09,3.429e+09,3.609e+09,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,1.0526e+10,9981960000,10095760000,10070450000,10720500000,10494600000,11142900000,11890600000,11992600000,12359700000,12837800000,13164400000,9907500000
Bahrain,巴林,BHR,048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253768831094e-308,1.11253778591875e-308,1.1125378298722e-308,1.11253785194747e-308,1.11253789406131e-308,1.11253783138331e-308,1.11253768329501e-308,3392021010.6383,3702393617.02128,3863563829.78723,4229787234.04255,4616223404.25532,4751063829.78723,5200265957.44681,5567553457.44681,5849467819.14894,6101861436.17021,6349202393.61702,6183776595.74468,6621010372.34043,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,2.173e+10,25710904255.3191,22938218085.1064,25713271276.5957,28776595744.6809,30749308510.6383,32539468085.1064,33387712765.9574,31050638297.8723,32234973404.2553,35473776595.7447,37801462765.9574,38652579787.234,34729228723.4043
Bangladesh,孟加拉国,BGD,050,4274893913.49536,4817580183.60155,5081413339.78635,1.11253824333441e-308,1.11253825978588e-308,1.1125383883867e-308,1.11253852006781e-308,1.11253872112481e-308,1.11253877796955e-308,1.11253902187015e-308,1.11253915075105e-308,1.11253909124604e-308,1.11253848265673e-308,1.11253892694029e-308,1.11254002024204e-308,1.11254173363393e-308,1.11253942851267e-308,1.11253931340426e-308,1.11254021028603e-308,1.11254077443814e-308,1.11254140994707e-308,1.11254193159267e-308,1.11254150563526e-308,1.11254127926664e-308,1.11254160332212e-308,1.11254243275534e-308,1.11254230815452e-308,24298032258.0645,26579005760.3486,28781714763.8012,31598341233.559,30957483949.5798,31708874594.1645,33166519417.9894,33768660882.793,37939748768.6567,46438484107.5795,48244309133.4895,49984559471.3656,51270569883.5275,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69442943089.4309,71819083683.7403,79611888213.148,91631278239.3237,102477791472.39,115279077465.226,128637938711.386,133355749482.478,149990451022.29,172885454931.453,195078678697.23,221415188000.475,249710922462.309,274038973437.275,302571320445.75,323056957972.312
Barbados,巴巴多斯,BRB,052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253700628074e-308,1.11253702860492e-308,1.11253703693799e-308,1.11253705155898e-308,1.11253706583402e-308,1.11253709485513e-308,1.11253717932014e-308,1.11253720449874e-308,1.11253721678099e-308,1.11253723459025e-308,1.11253726197966e-308,1.11253727745529e-308,1.11253731159993e-308,1704370307.76115,1812757917.76463,2006165166.80754,2012131457.26644,2020583702.08323,1.957e+09,2063342117.03873,2151344901.30761,2216974096.35559,2363645403.47039,2498384129.66738,2817083478.34734,2951822204.54432,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217500000,4.674e+09,4.785e+09,4465500000,4.53e+09,4657500000,4.61e+09,4.677e+09,4696500000,4.715e+09,4.83e+09,4.978e+09,5086500000,5.209e+09,4.418e+09
Belarus,白俄罗斯,BLR,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.165e+10,0,0,0,1.7793e+10,13489222222.2222,14756846153.8462,14108846153.8462,15264369565.2174,12152867469.8795,12738912133.8912,12354820143.8849,14594249022.8922,17827791321.3067,23144351851.8519,30207567316.6202,36954312354.3124,45277399813.6067,60763483146.0674,50874078052.2735,57222490768.7143,61757788944.7236,65685102554.8759,75527984234.2342,78813839984.3506,56454734396.5842,47722657820.6675,54726595249.1849,60031262269.3365,64409647193.8044,60258239055.5829
