name,chineseName,code,id,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominican Republic,多米尼加,DOM,214,672399700,654100200,824100000,1.11253716166206e-308,1.11253718261044e-308,1.11253714864345e-308,1.1125371723092e-308,1.11253718488317e-308,1.11253719582672e-308,1.11253723322749e-308,1.11253729622086e-308,1.1125373409338e-308,1.11253742020663e-308,1.11253750849616e-308,1.11253765199753e-308,1.11253781837414e-308,1.1125379054038e-308,1.11253806241786e-308,1.1125380988058e-308,1.11253828763769e-308,1.11253859951663e-308,1.11253879714288e-308,1.11253897157276e-308,1.11253920704445e-308,1.11253979335215e-308,1.11253817543364e-308,1.11253844163748e-308,5826987099.45901,5374314928.42536,6686593059.93691,7073675544.80847,9824498183.03263,11605382504,13081042400,14644711384.8202,16637370839.1608,18241691857.3544,20017480054.834,21672231760.6491,22136621337.0889,24305717541.6371,25601765400.5153,27137508656.8522,21403167848.1444,22322395368.0274,35777570135.5225,37879869897.8979,43965420072.4107,48122547177.1881,48261033298.2133,53860175555.9961,58029750745.6495,60681537195.7996,62682163837.347,67179914026.9623,71164825256.6849,75704720189.5607,79997975621.8654,85555378042.8196,88941299733.5018,78844702329.0785
Ecuador,厄瓜多尔,ECU,218,2069465326.41882,1753850416.70826,1518208221.23052,1.11253737992657e-308,1.11253748363154e-308,1.11253751893287e-308,1.11253752937279e-308,1.11253756007565e-308,1.11253756713701e-308,1.11253769806096e-308,1.11253763638609e-308,1.11253760963641e-308,1.11253771629702e-308,1.11253789064496e-308,1.11253855948728e-308,1.11253883923166e-308,1.11253917525733e-308,1.11253965312313e-308,1.11253987450297e-308,1.11254043098487e-308,1.11254134657465e-308,1.11254231722899e-308,1.11254185258159e-308,1.11254116647995e-308,1.11254110719997e-308,1.11254116564285e-308,1.11254071234982e-308,13945431882.2271,13051886552.3377,13890828707.6493,15239278100.3502,16988535267.6338,18094238119.0595,18938717358.6793,22708673336.6683,24432884442.2211,25226393196.5983,28162053026.5133,27981896948.4742,19645272636.3182,18327764882.4412,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,101726331000,99290381000,99937696000,104295862000,107562008000,108108009000,98808010000
Egypt,埃及,EGY,818,0,0,0,0,0,1.11253815173691e-308,1.11253823309423e-308,1.11253831399221e-308,1.11253839471233e-308,1.11253854100819e-308,1.11253891594108e-308,1.11253905602917e-308,1.11253922656944e-308,1.11253942392311e-308,1.11253920911044e-308,1.11253980278358e-308,1.11254021873973e-308,1.11254048672558e-308,1.11254058823067e-308,1.11254138092623e-308,1.11254228243219e-308,1.1125423975922e-308,1.11254376098891e-308,1.11254457893124e-308,1.11254532125232e-308,1.11254657675051e-308,1.11254712022413e-308,40455616653.5742,34980124929.0176,39756299049.9793,42978914311.3504,37387836490.5284,41855986519.4235,46578631452.581,51897983392.6453,60159245060.4541,67629716981.1321,78436578171.0914,84828807556.0803,90710704806.8416,99838543960.0763,96684636118.5984,85146067415.7303,80288461538.4615,78782467532.4675,89600665557.4043,107426086956.522,130437828371.278,162818181818.182,189147005444.646,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,235733695652.174,249712999437.254,303080865603.645,365252651278.852
El Salvador,萨尔瓦多,SLV,222,0,0,0,0,0,1.11253714607925e-308,1.11253715887555e-308,1.11253717040704e-308,1.11253717869749e-308,1.11253718848985e-308,1.11253720912203e-308,1.11253722226417e-308,1.11253724143392e-308,1.11253728555398e-308,1.11253734078064e-308,1.11253739469311e-308,1.11253750441521e-308,1.11253765593526e-308,1.11253770196239e-308,1.11253778488634e-308,1.112537812139e-308,1.11253777835487e-308,1.11253776896488e-308,1.1125377954366e-308,1.11253783380959e-308,1.11253786806938e-308,1.11253786097821e-308,3958045800,4189880000,4372215300,4817542204.02673,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,1.4698e+10,15999890000,17011750000,17986890000,17601620000,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26896660000,24638720000
Equatorial Guinea,赤道几内亚,GNQ,226,0,0,9122751.45318345,1.11253693193146e-308,1.112536932394e-308,1.11253694524856e-308,1.11253694632604e-308,1.11253694711838e-308,1.11253694593185e-308,1.11253694586056e-308,1.11253694563964e-308,1.11253694529763e-308,1.11253694541676e-308,1.11253694931346e-308,1.11253695251418e-308,1.11253695501805e-308,1.11253695485931e-308,1.11253695494193e-308,0,0,1.11253694176405e-308,1.11253693832747e-308,1.11253694019583e-308,1.11253694023235e-308,1.11253694168452e-308,1.11253694459892e-308,1.11253694812874e-308,93345847.7270322,100534663.294927,88265974.5843603,112119406.548331,110906032.075075,134707184.355541,136047896.155778,100807001.813926,141853368.256815,232463036.435759,442337849.474377,370687618.717326,621117885.668503,1045998496.43872,1461139022.02954,1806742742.27311,2484745935.09329,4410764338.66733,8217369092.65224,10086528698.8604,13071718758.7373,19749893536.3204,15027795173.2187,16314443428.9408,21357343681.8966,22388344123.9916,21948834290.3538,21765453087.4795,13185496881.4055,11240808846.6928,12200913887.6419,13097012189.3995,11417278044.9859,10021856754.4944
Eritrea,厄立特里亚,ERI,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477101651.648376,467872714.755603,531688311.688312,578015625,693535954.190067,686490090.140141,745526154.93283,688921325.712043,706370815.584416,752368495.512622,729321366.651861,870247703.182758,1109054005.43971,1098425900.74116,1211161879.6748,1317974491.05691,1380188800,1856695551.21951,1589515447.15447,2065001626.01626,0,0,0,0,0,0,0,0,0
Estonia,爱沙尼亚,EST,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4502970889.06373,4786018988.16491,5154420649.23354,5674080542.88575,5756912265.75809,5686579747.53524,6254649538.98487,7367975887.72723,9874013098.46432,12145911801.2422,14106790200.2239,17022870405.2189,22449129482.617,24341678628.9732,19633031397.6104,19523477325.6235,23183616045.5168,23020466784.6112,25108615091.9884,26598657880.5486,22881558191.8523,24056487770.898,26857880621.935,30474612057.4484,31045591753.4901,30650285471.7215
Eswatini,斯威士兰,SWZ,748,35076158.4768305,43025199.4960101,45927061.4587708,1.11253694262509e-308,1.11253694530562e-308,1.11253694661472e-308,1.11253694824016e-308,1.1125369477214e-308,1.11253694896643e-308,1.11253695529528e-308,1.11253695695531e-308,1.11253696296502e-308,1.11253696550351e-308,1.11253698407068e-308,1.11253699454734e-308,1.11253700047388e-308,1.1125369965797e-308,1.1125370043634e-308,1.11253701339703e-308,1.11253703105413e-308,1.11253706314552e-308,1.11253707025034e-308,1.11253706205251e-308,1.11253706643986e-308,1.11253705140533e-308,1.11253701820404e-308,1.11253704020756e-308,584135559.921414,692016714.317132,696915430.663057,1114703088.1614,1156141998.33412,1284766234.2216,1357206995.74624,1419293454.99606,1698982437.76019,1602760100.48147,1716699913.19444,1576904292.4588,1547884442.26205,1738100853.05052,1542477308.89408,1432228125.26682,2197612701.09852,2770082791.50412,3178126491.90949,3291353835.93,3469363996.36642,3294093485.20796,3580417066.92472,4438778424.30203,4820499924.2539,4886533032.88672,4597532029.70451,4422968339.67584,4063245671.29285,3816022046.82656,4402969225.92165,4665420238.51784,4495679480.96886,3972728948.47088
Ethiopia,埃塞俄比亚,ETH,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253873874511e-308,1.11253883330306e-308,1.11253904580386e-308,1.11253892930603e-308,1.11253927133239e-308,1.11253936218128e-308,10527338647.343,10908935748.7923,11476584879.2271,12175166763.285,13463868357.4879,10492993077.6093,8830712713.90781,6927950564.55657,7663984567.90123,8547939730.62374,8589211390.49612,7818224905.55071,7700833482.00615,8242392103.68061,8231326016.47494,7850809498.16803,8623691300.04079,10131187261.4421,12401139453.9738,15280861834.6024,19707616772.7996,27066912635.2228,32437389116.038,29933790334.3418,31952763089.33,43310721414.0829,47648211133.2183,55612228233.5179,64589334978.8013,74296618481.0882,81770791970.982,84269348327.3454,95912590628.1412,107645054311.876
Falkland Islands (Malvinas),马尔维纳斯群岛（ 福克兰）,FLK,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,法罗群岛,FRO,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107882640.8787,1120280381.86979,1058702725.4395,1147654635.45922,1262669892.4595,1494011567.01125,1688237552.36935,1727792692.89133,1984445416.02206,2290133548.87301,2432415998.11695,2268387770.71014,2320424601.26954,2490807830.57351,2366301251.61847,2627049837.08135,2850743875.2784,2518096285.61661,2738832687.13698,2899226097.62377,3051341335.9516,3126293219.77989,0
Fiji,斐济群岛,FJI,242,112328422.113084,116987784.913739,122906434.957814,1.11253696123317e-308,1.11253696384628e-308,1.11253696558836e-308,1.11253696645771e-308,1.11253696942753e-308,1.11253697049646e-308,1.11253697425855e-308,1.1125369835708e-308,1.11253699045582e-308,1.11253700747667e-308,1.11253703448053e-308,1.11253706724363e-308,1.11253709829033e-308,1.11253710083084e-308,1.1125371070019e-308,1.11253713410297e-308,1.11253718116382e-308,1.11253722632721e-308,1.11253723450361e-308,1.1125372242411e-308,1.11253720669796e-308,1.11253722025763e-308,1.11253721114855e-308,1.11253724798242e-308,1177908191.97685,1109976927.91722,1182686577.22645,1337024782.22702,1383843860.1247,1532401862.94079,1636074717.86224,1825763267.53637,1970347720.96992,2128696643.62574,2090184941.46983,1653160861.68714,1936484565.39399,1678239218.26553,1652464201.00149,1833279985.36741,2300453634.34962,2708078476.63012,2980484920.16558,3076305452.86506,3378314599.76402,3523185919.55826,2870624635.68032,3140508835.9485,3774530615.65916,3972012570.53467,4190143206.25611,4856963229.83999,4682546863.08162,4930204229.72263,5353404422.08138,5581371847.61641,5496264766.37285,4533883782.27458
Finland,芬兰,FIN,246,5224102195.52771,5921659485.03284,6340580854.39073,1.11253863030194e-308,1.11253884787233e-308,1.11253905110251e-308,1.1125392040614e-308,1.11253924369276e-308,1.11253910883257e-308,1.11253941706353e-308,1.11253973493308e-308,1.11254002393395e-308,1.11254057130449e-308,1.11254173956652e-308,1.11254306772812e-308,1.11254420995892e-308,1.1125447971289e-308,1.11254520480359e-308,1.11254588571522e-308,1.11254791363123e-308,1.11255018137939e-308,1.11254988571333e-308,1.11254997198941e-308,1.11254952138785e-308,1.1125499945234e-308,1.11255073242587e-308,1.11255509396011e-308,91594751792.2359,109058990760.483,119012054870.445,141438345513.917,127773856785.767,112532519246.084,89214114708.0254,103299943084.804,134189814814.815,132129174216.93,126912152101.707,134038718291.055,135218410398.466,125706651925.557,129421029082.774,139738377564.465,171274266365.688,197116960516.514,204809103345.355,216907539831.891,256052559540.104,284553976856.599,252496526813.004,249181190476.369,275243697751.011,258304834621.605,271285280621.373,274497230802.958,234440080998.273,240607907010.383,255016517537.983,275580448365.235,268508200125.49,269594831987.549
France,法国,FRA,250,62225478000.8822,67461644222.0352,75607529809.9288,1.11255786755684e-308,1.11256015227842e-308,1.11256201228664e-308,1.11256411419111e-308,1.11256631948408e-308,1.11256899051759e-308,1.11257198396924e-308,1.11257360284729e-308,1.11257792845511e-308,1.11258719898749e-308,1.1126022521124e-308,1.11260747006243e-308,1.11262606664711e-308,1.11262890427671e-308,1.11263828175334e-308,1.1126621027239e-308,1.1126885958284e-308,1.11271017051161e-308,1.11268899085191e-308,1.11268141325088e-308,1.11267523531755e-308,1.11266802556583e-308,1.11267357259757e-308,1.11272750785898e-308,934173305685.911,1018847043277.17,1025211803413.53,1269179616913.63,1269276828275.78,1401465923172.24,1322815612694,1393982750472.59,1601094756209.75,1605675086549.56,1452884917959.09,1503108739159.44,1492647560196.04,1362248940482.77,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.6,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2471285607081.72,2588740901639.81,2789593979064.58,2728870246705.88,2630317731455.26
French Guiana,法属圭亚那,GUF,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,法属波利尼西亚,PYF,258,0,0,0,0,0,1.11253697286344e-308,1.11253698252856e-308,1.11253698384399e-308,1.11253699338087e-308,1.11253698926869e-308,1.11253699200883e-308,1.11253700252687e-308,1.11253700974758e-308,1.11253703578752e-308,1.11253706644031e-308,1.11253709978524e-308,1.11253711015231e-308,1.11253712519835e-308,1.11253717766321e-308,1.11253722940633e-308,1.11253726574974e-308,1.11253724544891e-308,1.1125372470521e-308,1.11253725926358e-308,1.11253726990974e-308,1.11253730158907e-308,1.11253749780328e-308,2543199148.39002,2687472829.62973,2636461517.10408,3181206304.81514,3267367650.64269,3558215009.09044,3694600395.12747,3522272234.12075,3982376722.37398,3954697173.61901,3567062532.27782,3775160797.2028,3797016078.79925,3447543203.02843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Southern Territories,法属南部领地,ATF,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,加蓬,GAB,266,141468978.376811,167637908.489803,182796536.499917,1.11253696741529e-308,1.1125369825336e-308,1.11253698520018e-308,1.11253698998657e-308,1.1125369963338e-308,1.112537001997e-308,1.11253700784084e-308,1.11253700924344e-308,1.11253702354284e-308,1.1125370356033e-308,1.11253710780416e-308,1.11253731072564e-308,1.11253746224987e-308,1.11253767267664e-308,1.11253762325503e-308,1.11253751953341e-308,1.11253767782509e-308,1.11253798646464e-308,1.11253788336085e-308,1.11253782302029e-308,1.11253776701002e-308,1.11253780904903e-308,1.11253775432217e-308,1.11253777006395e-308,3281797038.66566,3834503378.35497,4186411457.45694,5952293765.84468,5402919956.93831,5592390848.52647,4378645081.01769,4190819314.02958,4958845906.34769,5694040336.82571,5326816858.99586,4483417119.83928,4662992036.2073,5080483463.99928,5023265365.25169,5335451307.54323,6511903657.44009,7770219479.72648,9582783318.3881,10327598800.6713,12455410055.7483,15571349775.7848,12113699660.6799,14372591916.4792,18210308748.2912,17170465294.0332,17595745653.3676,18203968001.8908,14383107714.0388,14023890620.3384,14929488770.7315,16867325126.5423,16874405839.7948,15316826191.5682
Gambia,冈比亚,GMB,270,0,0,0,0,0,0,1.1125369401755e-308,1.11253694078889e-308,1.11253693942163e-308,1.11253694041176e-308,1.11253694217264e-308,1.1125369430204e-308,1.11253694386844e-308,1.1125369478275e-308,1.11253695291874e-308,1.11253695770746e-308,1.11253695696808e-308,1.11253696336741e-308,1.11253697170293e-308,1.11253698041765e-308,1.11253698880845e-308,1.1125369832956e-308,1.11253698262541e-308,1.11253698198191e-308,1.11253697306211e-308,1.11253698501505e-308,1.11253697511431e-308,220626484.224811,266673126.229801,284119692.49433,317083373.524559,690314321.374999,714255460.503389,755042548.055824,746491692.583857,785996982.492168,848237108.56163,803630742.53446,840285264.631545,814723460.08372,782915402.421095,687408804.630527,578236035.104279,487038821.611959,961900106.892751,1027702254.38664,1054113426.70947,1279704744.82781,1561763437.0325,1450140385.97229,1543292392.54605,1409694553.90934,1415006238.09509,1375608956.10386,1229460601.92174,1378176868.31568,1484579844.37143,1504909753.28746,1670670668.5939,1812529104.61923,1868086274.822
Georgia,格鲁吉亚,GEO,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7753540783.62452,0,0,2688016393.44262,2514070771.80273,2693768412.89179,3095047603.8083,3510520231.21387,3613541516.765,2800049394.91232,3057475335.18846,3219488663.77231,3395728013.84524,3991284895.37214,5125365191.98664,6410823633.25426,7745394293.41721,10172882370.5477,12795076469.0099,10766836276.5639,12243505582.6741,15107441446.7833,16488403076.3641,17189551520.9811,17627003454.7205,14953950557.4406,15141758566.7808,16242916915.7203,17599700090.762,17477255562.2583,15846489610.8073
Germany,德国,DEU,276,0,0,0,0,0,0,0,0,0,0,1.11259024843474e-308,1.11259868376754e-308,1.11261099007485e-308,1.11263534071282e-308,1.11264693383037e-308,1.11265813257748e-308,1.11266532566339e-308,1.1126852720285e-308,1.1127198496439e-308,1.11275465044055e-308,1.11277168228647e-308,1.11273467212511e-308,1.11272876912357e-308,1.11272731357755e-308,1.1127160555014e-308,1.11271788941464e-308,1.1127953896605e-308,1298176105549.51,1401233225303.49,1398967436804.33,1771671206875.68,1868945197407.19,2131571696931.75,2071323790370.28,2205074123177.05,2585792275146.72,2497244606186.64,2211989623279.95,2238990774702.68,2194204133816.32,1943145384190.16,1944107382550.34,2068624129493.69,2496128668171.56,2809187981127.39,2845802760850.64,2992196713084.93,3421229126745.14,3730027830672.33,3397791053070.3,3396354075663.73,3744408602683.94,3527344944139.83,3732743446218.92,3883920155292.26,3356235704119.75,3467498002104.33,3681732583768.5,3975347237442.99,3888326788627.44,3846413928653.71
Ghana,加纳,GHA,288,1217230038.26781,1302674264.19915,1382515590.06942,1.11253730988116e-308,1.11253735694057e-308,1.11253743652633e-308,1.11253745451963e-308,1.11253736086627e-308,1.11253734103512e-308,1.11253741394468e-308,1.11253747643858e-308,1.11253752635854e-308,1.11253745105929e-308,1.11253753831129e-308,1.11253764426786e-308,1.11253762344211e-308,1.11253761236216e-308,1.11253771714714e-308,1.11253783400593e-308,1.11253792238185e-308,1.11253802737088e-308,1.11253797233527e-308,1.11253792627669e-308,1.11253793153371e-308,1.11253801923155e-308,1.11253804197396e-308,1.11253834415945e-308,5074829931.97279,5197840979.13416,5251764264.26802,5889174825.487,6596546195.65217,6413901601.83066,5966255778.12018,5444560669.45607,6465137614.6789,6934984709.48012,6891308593.75,7480968858.13149,7719354838.70968,4983024408.14828,5314909953.92992,6166330136.2948,7632406552.83803,8881368538.07671,10744675209.8984,20440893017.1566,24827844949.6033,28678701891.0957,26048108185.0534,32197272797.2028,39337314809.9434,41270954737.2459,62823043706.4702,54782847752.5375,49406568432.6711,56165172898.8695,60406382898.5174,67299280679.563,68337537815.7703,68532281805.6722
Gibraltar,直布罗陀,GIB,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,希腊,GRC,300,4335186016.83942,4961400439.31722,5213047711.42704,1.11253838558077e-308,1.11253857688181e-308,1.11253882872703e-308,1.11253905164053e-308,1.11253922063145e-308,1.11253942198175e-308,1.11253979870215e-308,1.11254017523121e-308,1.11254053389479e-308,1.11254110052914e-308,1.1125424499056e-308,1.11254319185849e-308,1.11254397608145e-308,1.11254462502658e-308,1.11254586597105e-308,1.11254786544709e-308,1.11255038806541e-308,1.11255096804599e-308,1.11254986055894e-308,1.1125504216898e-308,1.11254913980784e-308,1.11254879177573e-308,1.11254874257347e-308,1.11255085686373e-308,65652750377.4535,76261277924.5736,79169043222.8284,97891092003.4394,105143232379.884,116224672863.783,108809059155.767,116601801966.292,136878365936.167,145861612400.906,143157600149.757,144428172489.335,142540728744.939,130133845586.88,136191353914.989,153830946734.425,201924269751.693,240521261484.976,247783002114.165,273317736795.885,318497937311.799,354460802695.181,330000251458.739,296835346570.223,282625610892.477,242043151399.458,238839788899.338,235144949470.797,195604846736.019,193017030649.7,199350781053.185,211945897765.431,205144152830.847,188835201625.91
Greenland,格陵兰,GRL,304,0,0,0,0,0,0,0,0,0,0,1.11253694642733e-308,1.11253695113353e-308,1.11253695546407e-308,1.11253696387618e-308,1.11253697122916e-308,1.11253698142553e-308,1.11253698873427e-308,1.1125369989834e-308,1.11253701719458e-308,1.1125370331661e-308,1.11253704685488e-308,1.11253703689741e-308,1.11253702866086e-308,1.11253703206464e-308,1.11253702297084e-308,1.11253703124754e-308,1.11253707821827e-308,787392365.831908,898611007.947709,929796722.387896,1018970364.86443,1016493394.8253,1037921836.9477,927219728.866886,1005879948.43254,1208946165.92889,1197509786.67632,1072147778.03013,1149862702.96084,1131561595.13775,1068030829.75591,1086172922.57413,1169138789.31435,1558753434.43083,1822486688.58807,1849805732.96203,2013099482.07439,2249811708.94796,2499107510.64122,2529948329.57153,2503156060.52524,2684467375.71479,2609667673.71601,2684952726.88425,2842048997.77283,2499115623.00272,2707146783.13056,2851610655.92391,3040414278.02236,2982247278.61577,0
Grenada,格林纳达,GRD,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253694691509e-308,1.11253695107213e-308,1.11253695451131e-308,1.11253695664965e-308,1.11253695782342e-308,1.11253696024031e-308,1.1125369618134e-308,1.11253696520511e-308,1.11253697068803e-308,1.11253697559437e-308,215009569.62963,236357523.703704,267327642.222222,278098762.962963,300757888.888889,310160444.444444,309812185.185185,325111814.814815,342172518.518519,366911444.444444,392190592.592593,445903592.592593,482009370.37037,520044370.37037,520444185.185185,540336925.925926,591018407.407407,599118592.592593,695555555.555555,698700666.666667,758683592.592593,825976037.037037,771275555.555555,771013259.259259,778655925.925926,799882259.259259,842620111.111111,911497407.407407,997007925.925926,1061640740.74074,1125685185.18519,1166523555.55556,1212694407.40741,1042100555.55556
Guadeloupe,瓜德罗普,GLP,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,关岛,GUM,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.394e+09,3.569e+09,3.869e+09,4.213e+09,4.238e+09,4.397e+09,4.658e+09,4.828e+09,4.949e+09,4.984e+09,5.265e+09,5.399e+09,5.61e+09,5.799e+09,5.901e+09,6.013e+09,6.06e+09,6.364e+09,5.844e+09
Guatemala,危地马拉,GTM,320,1043599900,1076699900,1143600000,1.11253724120665e-308,1.11253725017392e-308,1.11253725815308e-308,1.11253727280215e-308,1.11253728831581e-308,1.11253732709996e-308,1.11253735301368e-308,1.1125373996041e-308,1.11253741956435e-308,1.11253744834367e-308,1.11253756393035e-308,1.11253771024785e-308,1.11253782991057e-308,1.11253800762603e-308,1.11253828311704e-308,1.1125384288911e-308,1.11253863442241e-308,1.1125388755511e-308,1.1125390555887e-308,1.11253908263864e-308,1.11253916490075e-308,1.11253926865446e-308,1.11253933082076e-308,1.11253871578596e-308,7084399840,7841602824.42748,8410724360.79545,7650125217.35253,9406097735.09117,10440842165.3193,11399942453.0646,12983235568.2292,14655404433.2771,15674835615.3139,17790026221.6139,19395491992.9939,18318412251.3642,19288827158.9035,18405203853.1036,20444205991.025,21576351798.9145,23577286226.6407,26783543667.064,29744368110.9094,33567868322.6252,38503862830.6878,37125943564.9873,40676432028.5934,46876114650.4996,49593961141.7484,52996540703.5943,57852399963.7878,62186186575.7433,66053725049.0138,71654134378.5299,73208583758.9105,77020015201.3201,77604632170.5853
Guernsey,根西岛,GGY,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea,几内亚,GIN,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253742213021e-308,2041538039.57727,2384295982.38433,2432029433.82679,2666750685.8495,3015058138.92561,3284620543.22982,3279096606.21358,3383092827.5866,3693710532.91191,3868968301.91851,3783700461.64359,3588375476.76248,3461282543.12577,2995361140.63217,2829435956.51563,2950198648.95191,3446441698.00738,3635458132.65317,2937071767.25576,4220019242.74824,6281917655.90249,6964179193.84418,6716904568.76482,6853467857.61127,6785137172.77058,7638045254.42864,8376613843.27265,8778473614.54728,8794202443.67366,8595955581.21787,10324668266.5921,11857030336.5252,13513809258.2131,15681050917.1563
Guinea-Bissau,几内亚比绍,GNB,624,0,0,0,0,0,0,0,0,0,0,1.11253694870338e-308,1.11253694865557e-308,1.11253695091908e-308,1.11253695133197e-308,1.11253695365435e-308,1.11253695617666e-308,1.11253695701675e-308,1.11253695765526e-308,1.11253695955634e-308,1.11253695853635e-308,1.11253695658873e-308,1.11253696747748e-308,1.11253697014337e-308,1.11253696966262e-308,1.11253696346243e-308,1.11253696479082e-308,1.11253696142345e-308,173836362.010677,164458120.314176,213143016.443316,243961995.509785,257150374.069711,226313443.749086,236880821.656388,235620043.500927,253966922.278198,270419779.418107,268550998.219197,206457544.497703,224446663.800548,371095510.047761,392621385.894576,417806667.07798,477458598.710737,532062927.382438,587029054.444652,592365688.05204,696910810.918663,868154708.520179,830126469.986608,849878424.225986,1099818651.98114,989271229.637162,1046087417.96916,1054915645.19654,1048229629.42039,1179004941.22904,1350177127.5523,1504630120.99275,1439638443.38133,1431758242.90375
Guyana,圭亚那,GUY,328,170215248.206265,185848451.262906,194948375.430205,1.11253697267132e-308,1.11253697736902e-308,1.11253698192972e-308,1.11253698575146e-308,1.1125369910554e-308,1.11253698600939e-308,1.11253699083888e-308,1.11253699540899e-308,1.11253699892921e-308,1.11253699975206e-308,1.11253700510444e-308,1.11253703645462e-308,1.11253705148338e-308,1.1125370415152e-308,1.11253704038873e-308,1.112537054519e-308,1.11253706028969e-308,1.1125370782638e-308,1.11253707015053e-308,1.11253704832342e-308,1.112537050135e-308,1.11253703736297e-308,1.11253704128011e-308,1.112537053919e-308,354591846.938775,413799990,379779389.705882,396582263.291139,348533094.812165,373573141.486811,454101382.488479,540874934.201012,621626785.915493,705406001.424501,749138009.56454,717530683.169567,694754988.258295,712667896.727512,712167575.624277,726131434.715338,743064076.794567,787814379.183843,824880550.343965,2379818382.99241,2730971150.01134,3025187923.58617,3165663152.73351,3432913073.24154,3691384317.52178,4063089191.87525,4167800259.20888,4127659492.02031,4279840193.7046,4482697336.56174,4748174334.14044,4787636237.24043,5173760191.84652,5471256594.72422
